weight,Diet
42,1
51,1
59,1
64,1
76,1
93,1
106,1
125,1
149,1
171,1
199,1
205,1
40,1
49,1
58,1
72,1
84,1
103,1
122,1
138,1
162,1
187,1
209,1
215,1
43,1
39,1
55,1
67,1
84,1
99,1
115,1
138,1
163,1
187,1
198,1
202,1
42,1
49,1
56,1
67,1
74,1
87,1
102,1
108,1
136,1
154,1
160,1
157,1
41,1
42,1
48,1
60,1
79,1
106,1
141,1
164,1
197,1
199,1
220,1
223,1
41,1
49,1
59,1
74,1
97,1
124,1
141,1
148,1
155,1
160,1
160,1
157,1
41,1
49,1
57,1
71,1
89,1
112,1
146,1
174,1
218,1
250,1
288,1
305,1
42,1
50,1
61,1
71,1
84,1
93,1
110,1
116,1
126,1
134,1
125,1
42,1
51,1
59,1
68,1
85,1
96,1
90,1
92,1
93,1
100,1
100,1
98,1
41,1
44,1
52,1
63,1
74,1
81,1
89,1
96,1
101,1
112,1
120,1
124,1
43,1
51,1
63,1
84,1
112,1
139,1
168,1
177,1
182,1
184,1
181,1
175,1
41,1
49,1
56,1
62,1
72,1
88,1
119,1
135,1
162,1
185,1
195,1
205,1
41,1
48,1
53,1
60,1
65,1
67,1
71,1
70,1
71,1
81,1
91,1
96,1
41,1
49,1
62,1
79,1
101,1
128,1
164,1
192,1
227,1
248,1
259,1
266,1
41,1
49,1
56,1
64,1
68,1
68,1
67,1
68,1
41,1
45,1
49,1
51,1
57,1
51,1
54,1
42,1
51,1
61,1
72,1
83,1
89,1
98,1
103,1
113,1
123,1
133,1
142,1
39,1
35,1
43,1
48,1
55,1
62,1
65,1
71,1
82,1
88,1
106,1
120,1
144,1
157,1
41,1
47,1
54,1
58,1
65,1
73,1
77,1
89,1
98,1
107,1
115,1
117,1
40,2
50,2
62,2
86,2
125,2
163,2
217,2
240,2
275,2
307,2
318,2
331,2
41,2
55,2
64,2
77,2
90,2
95,2
108,2
111,2
131,2
148,2
164,2
167,2
43,2
52,2
61,2
73,2
90,2
103,2
127,2
135,2
145,2
163,2
170,2
175,2
42,2
52,2
58,2
74,2
66,2
68,2
70,2
71,2
72,2
72,2
76,2
74,2
40,2
49,2
62,2
78,2
102,2
124,2
146,2
164,2
197,2
231,2
259,2
265,2
42,2
48,2
57,2
74,2
93,2
114,2
136,2
147,2
169,2
205,2
236,2
251,2
39,2
46,2
58,2
73,2
87,2
100,2
115,2
123,2
144,2
163,2
185,2
192,2
39,2
46,2
58,2
73,2
92,2
114,2
145,2
156,2
184,2
207,2
212,2
233,2
39,2
48,2
59,2
74,2
87,2
106,2
134,2
150,2
187,2
230,2
279,2
309,2
42,2
48,2
59,2
72,2
85,2
98,2
115,2
122,2
143,2
151,2
157,2
150,2
42,3
53,3
62,3
73,3
85,3
102,3
123,3
138,3
170,3
204,3
235,3
256,3
41,3
49,3
65,3
82,3
107,3
129,3
159,3
179,3
221,3
263,3
291,3
305,3
39,3
50,3
63,3
77,3
96,3
111,3
137,3
144,3
151,3
146,3
156,3
147,3
41,3
49,3
63,3
85,3
107,3
134,3
164,3
186,3
235,3
294,3
327,3
341,3
41,3
53,3
64,3
87,3
123,3
158,3
201,3
238,3
287,3
332,3
361,3
373,3
39,3
48,3
61,3
76,3
98,3
116,3
145,3
166,3
198,3
227,3
225,3
220,3
41,3
48,3
56,3
68,3
80,3
83,3
103,3
112,3
135,3
157,3
169,3
178,3
41,3
49,3
61,3
74,3
98,3
109,3
128,3
154,3
192,3
232,3
280,3
290,3
42,3
50,3
61,3
78,3
89,3
109,3
130,3
146,3
170,3
214,3
250,3
272,3
41,3
55,3
66,3
79,3
101,3
120,3
154,3
182,3
215,3
262,3
295,3
321,3
42,4
51,4
66,4
85,4
103,4
124,4
155,4
153,4
175,4
184,4
199,4
204,4
42,4
49,4
63,4
84,4
103,4
126,4
160,4
174,4
204,4
234,4
269,4
281,4
42,4
55,4
69,4
96,4
131,4
157,4
184,4
188,4
197,4
198,4
199,4
200,4
42,4
51,4
65,4
86,4
103,4
118,4
127,4
138,4
145,4
146,4
41,4
50,4
61,4
78,4
98,4
117,4
135,4
141,4
147,4
174,4
197,4
196,4
40,4
52,4
62,4
82,4
101,4
120,4
144,4
156,4
173,4
210,4
231,4
238,4
41,4
53,4
66,4
79,4
100,4
123,4
148,4
157,4
168,4
185,4
210,4
205,4
39,4
50,4
62,4
80,4
104,4
125,4
154,4
170,4
222,4
261,4
303,4
322,4
40,4
53,4
64,4
85,4
108,4
128,4
152,4
166,4
184,4
203,4
233,4
237,4
41,4
54,4
67,4
84,4
105,4
122,4
155,4
175,4
205,4
234,4
264,4
264,4
